key,prefix,number,document_id,path,source,field,location,context
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 3,"ata SheetHot Salt TankSalt inletConnection detail N2kks = AD1WSH10BB0010328-PLN-CYD-75-62-001431:1501:201:16 XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU Scale=1:20Connection detail EL+13166260°2145°11/4"" NPTtesting pipe8 mmReinforcing"
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 4,"nsent. Kaxu Solar One(PTY) LTD (RF)Data SheetHot Salt Tankkks = AD1WSH10BB0010328-PLN-CYD-75-62-00144 1:10-- XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU Ø228,6Ø190,51,623,8Ø19,05Ø114,38,56Ø168,27 584300 Reinforcing Ø375125 EL+13000 100"
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 5,"t. salt pumpsConnections detail N8A / N8B / N8C / N9kks = AD1WSH10BB0010328-PLN-CYD-75-62-00145 1:301:161:10 XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU Ø152,4Ø190,51,623,869,8Ø88,9543100400 Scale=1:10N9Connection detail EL+12616Pipe 3"
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 6,ersConnections detail N10 / N11 / N12 / N13 / N14 / N15kks = AD1WSH10BB0010328-PLN-CYD-75-62-00146 1:201:10- XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU Anular bottom plateInsert platethk. 70 mm.Ø483Ø432894792345 6450 3452570430 Insert
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 7,opening / PreheatingConnections detail N18 / N20 / N22kks = AD1WSH10BB0010328-PLN-CYD-75-62-00147 1:201:10- XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU 2080100524 40808440 R10601550155015332017515 100Thk. 10 mm. Thk. 10 mm.1607515725
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 8,e (chimeney) / Spare nozzleConnections detail N23 / N24kks = AD1WSH10BB0010328-PLN-CYD-75-62-00148 1:201:10- XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU Ø610 2 holes Ø260 21000 4780 No welding250360360360 EL+14830 N23Ø700 Ø700588101020
ABE-13005,ABE,13005,ffcce27b9b28af2a,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/Hot salt tank.pdf,extracted,.yeyo-memory/extracted/ffcce27b9b28af2a.txt,page 9,TY) LTD (RF)Data SheetHot Salt TankShell & bottomkks = AD1WSH10BB001-0328-PLN-CYD-75-62-00149 1:2001:1251:30 XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU Scale=1:200Internal shell viewA 22402240224022402240600 36225012 51711 plates 1037
ABE-13005,ABE,13005,9f663787071aed91,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/TANQUES SALES .pdf,extracted,.yeyo-memory/extracted/9f663787071aed91.txt,page 1,axu Solar One(PTY) LTD (RF)Data SheetHot Salt Tank-kks = AD1WSH10BB001-0328-PLN-CYD-75-62-00141 1:1251:101:2 XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU NºØDescriptionServiceDINASAUnitsConnections tableStandardsRemarksDN Characteristic
ABE-13005,ABE,13005,9f663787071aed91,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/TANQUES SALES .pdf,extracted,.yeyo-memory/extracted/9f663787071aed91.txt,page 10,TY) LTD (RF)Data SheetHot Salt TankRoof structurekks = AD1WSH10BB001-0328-PLN-CYD-75-62-001410 1:1001:501:10 XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXUScale=1:100Plant of roof structure 10010500200100030017146Scale=1:20Rafter detail 0
ABE-13005,ABE,13005,9f663787071aed91,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/TANQUES SALES .pdf,extracted,.yeyo-memory/extracted/9f663787071aed91.txt,page 11,TY) LTD (RF)Data SheetHot Salt TankRoof structurekks = AD1WSH10BB001-0328-PLN-CYD-75-62-001411 1:1501:401:10 XXXXXXXXXX ABE-13005-CE-BA!Kaxu Solar OneABEINSA EPC KAXU Ø2500Ø800 Ø2500Ø2000 10Thk. 10 mm.2525 Scale=1:40Side view of roof structure rafte
