path,size_bytes,size_human,ext,depth,mtime_iso
Helios Sole/Helios I/5.16 Obra civil/5.16.1 Proyecto OC HI.pdf,725688809,692 MB,pdf,3,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.16 Obra civil/5.16.2 CDO OC HI.pdf,245274,240 KB,pdf,3,2026-06-08T16:16:00.000Z
Helios Sole/Helios I/5.7 Instalaciones NM/5.7.1 BT/5.7.1.1 Proyecto.pdf,21703853,21 MB,pdf,4,2026-06-08T16:16:00.000Z
Helios Sole/Helios I/5.7 Instalaciones NM/5.7.1 BT/5.7.1.2 CDO.pdf,1382216,1.3 MB,pdf,4,2026-06-08T16:17:00.000Z
Helios Sole/Helios I/5.7 Instalaciones NM/5.7.1 BT/5.7.1.3 CIBT.pdf,2341402,2.2 MB,pdf,4,2026-06-08T16:17:00.000Z
Helios Sole/Helios I/5.7 Instalaciones NM/5.7.1 BT/5.7.1.4 Acreditacion instalador.pdf,368426,360 KB,pdf,4,2026-06-08T16:17:00.000Z
Helios Sole/Helios I/5.7 Instalaciones NM/5.7.1 BT/5.7.1.5 Cert OCA.pdf,2281062,2.2 MB,pdf,4,2026-06-08T16:17:00.000Z
Helios Sole/Helios I/5.7 Instalaciones NM/5.7.1 BT/5.7.1.6 Formulario PS.pdf,12037325,11 MB,pdf,4,2026-06-08T16:17:00.000Z
Helios Sole/Helios I/5.7 Instalaciones NM/5.7.2 EP/5.7.2.1 Proyecto.pdf,21703853,21 MB,pdf,4,2026-06-08T16:17:00.000Z
Helios Sole/Helios I/5.7 Instalaciones NM/5.7.2 EP/5.7.2.2 CDO.pdf,525910,514 KB,pdf,4,2026-06-08T16:17:00.000Z
Helios Sole/Helios I/5.7 Instalaciones NM/5.7.2 EP/5.7.2.3 Cert instalacion.pdf,4240129,4.0 MB,pdf,4,2026-06-08T16:17:00.000Z
Helios Sole/Helios I/5.7 Instalaciones NM/5.7.2 EP/5.7.2.4 Acreditacion instalador.pdf,413751,404 KB,pdf,4,2026-06-08T16:17:00.000Z
Helios Sole/Helios I/5.7 Instalaciones NM/5.7.2 EP/5.7.2.5 Formulario PS.pdf,11412280,11 MB,pdf,4,2026-06-08T16:17:00.000Z
Helios Sole/Helios I/5.7 Instalaciones NM/5.7.2 EP/5.7.2.6 APM.pdf,82204,80 KB,pdf,4,2026-06-08T16:17:00.000Z
Helios Sole/Helios I/5.7 Instalaciones NM/5.7.3 PCI/5.7.3.1 Proyecto.pdf,21703853,21 MB,pdf,4,2026-06-08T16:17:00.000Z
Helios Sole/Helios I/5.7 Instalaciones NM/5.7.3 PCI/5.7.3.2 CDO.pdf,59914,59 KB,pdf,4,2026-06-08T16:17:00.000Z
